"####"
"ء"
"آ"
"أ"
"ؤ"
"إ"
"ئ"
"ا"
"ب"
"ت"
"ث"
"ج"
"ح"
"خ"
"د"
"ذ"
"ر"
"ز"
"س"
"ش"
"ص"
"ض"
"ط"
"ظ"
"ع"
"غ"
"ف"
"ق"
"ل"
"م"
"ن"
"ه"
"و"
"ُ"
"ِ"
"َ"
"ّ"
"ٕ"
"پ"
"چ"
"ژ"
"ک"
"گ"
"ھ"
"ی"
